Index (sec),latitude,longitude,elevation,time_gps,speed,sat,sys_time,sim_state,net_op_name,net_op_code,roaming,net_type,call_state,data_state,data_act,data_rx,data_tx,gsm_neighbors,umts_neighbors,lte_neighbors,rssi_strongest,tech,mcc,mnc,lac_tac,node_id,cid,psc_pci,rssi,rsrq,rssnr,slev,gps,accuracy,lat,long,band,arfcn,Network Throughput,Time tcp,Throughput tcp,Predicted Throughput
1,22.30992633,87.31023282,-8.0,17:25:32,0.0,12,17:25:32,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1285919876,29201862,0,0,2,-114,LTE,405,51,43,68212,1,234,-106,-12,48,2,0,-1,-1.0,-1.0,1800,1566,618380,17:25:32,619752,273459.0625
2,22.30992479,87.31023035,-7.0,17:25:33,0.48,13,17:25:33,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1286567876,29215954,0,0,2,-114,LTE,405,51,43,68212,1,234,-106,-12,48,2,0,-1,-1.0,-1.0,1800,1566,634260,17:25:33,659292,268848.3125
3,22.30992346,87.31022826,-7.0,17:25:34,0.0,11,17:25:34,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1287228836,29229110,0,0,4,-111,LTE,405,51,43,68212,1,234,-106,-12,48,2,0,-1,-1.0,-1.0,1800,1566,662092,17:25:34,708456,632381.1595238094
4,22.30992181,87.31023015,-7.0,17:25:35,0.0,12,17:25:35,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1287741476,29243826,0,0,4,-111,LTE,405,51,43,68212,1,234,-106,-12,48,2,0,-1,-1.0,-1.0,1800,1566,674116,17:25:35,648560,632381.1595238094
5,22.30992199,87.31023274,-6.0,17:25:36,0.59,13,17:25:36,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1288429796,29257518,0,0,4,-111,LTE,405,51,43,68212,1,234,-106,-12,48,2,0,-1,-1.0,-1.0,1800,1566,527356,17:25:36,628920,440891.0
6,22.30992112,87.31023938,-5.0,17:25:37,0.74,13,17:25:37,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1289122436,29270050,0,0,2,-113,LTE,405,51,43,68212,1,234,-107,-13,48,2,0,-1,-1.0,-1.0,1800,1566,702012,17:25:37,661760,724297.875
7,22.30992194,87.3102522,-5.0,17:25:38,1.14,13,17:25:38,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1289675396,29289494,0,0,2,-113,LTE,405,51,43,68212,1,234,-107,-13,48,2,0,-1,-1.0,-1.0,1800,1566,705172,17:25:38,688832,515873.75
8,22.30992345,87.31026909,-5.0,17:25:39,1.42,14,17:25:39,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1290036836,29296046,0,0,2,-113,LTE,405,51,43,68212,1,234,-107,-13,48,2,0,-1,-1.0,-1.0,1800,1566,572404,17:25:39,631772,937417.75
9,22.30992331,87.31028651,-4.0,17:25:40,1.45,12,17:25:40,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1290399716,29308238,0,0,2,-113,LTE,405,51,43,68212,1,234,-110,-14,48,2,0,-1,-1.0,-1.0,1800,1566,367992,17:25:40,338600,957445.375
10,22.30992335,87.31030699,-5.0,17:25:41,1.54,14,17:25:41,READY,airtel,40551,0,LTE,IDLE,CONNECTED,INOUT,1290595556,29319118,0,0,2,-113,LTE,405,51,43,68212,1,234,-110,-14,48,2,0,-1,-1.0,-1.0,1800,1566,375072,17:25:41,352920,979988.75
